,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19900702,0.44,0.8,0.88,0.74,0.81,0.72
19900703,0.19,0.36,0.41,0.31,0.18,0.19
19900704,0.5,0.52,0.58,0.78,0.67,0.62
19900705,-0.48,-0.45,-0.36,-0.52,-0.79,-0.89
19900706,0.03,0.03,0.11,-0.01,0.25,0.28
19900709,0.35,0.49,0.51,0.2,0.39,0.13
19900710,0.36,0.16,0.42,0.07,0.12,0.21
19900711,-0.09,-0.22,-0.25,0.21,0.36,0.59
19900712,0.53,0.49,0.46,0.66,0.67,0.49
19900713,0.31,0.35,0.27,0.6,0.88,0.89
19900716,0.19,0.36,0.24,0.65,0.62,0.61
19900717,0.14,0.2,0.22,0.21,0.1,-0.01
19900718,-0.07,0,-0.17,0.13,-0.07,-0.39
19900719,-0.24,-0.15,-0.13,-0.25,-0.18,-0.26
19900720,-0.17,-0.18,-0.01,-0.78,-0.89,-0.97
19900723,-0.85,-0.65,-0.6,-0.82,-0.89,-1.21
19900724,-0.19,-0.36,-0.21,-0.33,-0.43,-0.63
19900725,0.25,0.09,0.21,0.02,0.18,-0.04
19900726,-0.09,-0.13,-0.14,-0.62,-0.77,-0.76
19900727,-0.2,-0.1,0.09,-0.52,-0.84,-0.74
19900730,-0.3,-0.09,-0.04,-0.18,0.15,0.14
19900731,0.82,0.96,0.8,1.41,1.47,1.5
19900801,-0.42,-0.18,-0.46,-0.55,-0.44,-0.52
19900802,-1.12,-1.44,-1.41,-1.9,-1.61,-2.07
19900803,-1.33,-1.35,-1.43,-1.6,-1.72,-1.77
19900806,-2.41,-2.78,-2.66,-3.06,-3.01,-3.63
19900807,-1.18,-1.06,-0.74,-0.81,-0.72,-0.54
19900808,0.09,0.09,-0.26,0.76,0.33,1.32
19900809,0.16,0.22,0.39,-0.31,-0.11,-0.14
19900810,-0.35,-0.47,-0.36,-0.56,-0.58,-0.86
19900813,-0.66,-0.97,-0.72,-1.52,-1.11,-0.96
19900814,0.29,0.51,0.33,1.08,0.86,0.99
19900815,1.02,1.11,0.78,2.36,1.94,2.58
19900816,-0.54,-0.68,-0.42,-1.32,-1.25,-1.91
19900817,-0.94,-1.02,-1.19,-1.36,-1.39,-1.25
19900820,-1.11,-1.2,-1.38,-0.7,-0.6,-0.55
19900821,-1.26,-1.47,-1.99,-1.39,-1.43,-1.52
19900822,-1.37,-1.18,-0.99,-1.6,-1.4,-1.74
19900823,-2.89,-2.49,-2.2,-3.74,-3.39,-4.03
19900824,-0.74,-0.6,-0.73,0.69,0.71,1.25
19900827,1.91,1.98,2.45,3.13,3.45,4.05
19900828,1.25,1.49,1.25,1.37,1.34,1.27
19900829,0.06,-0.1,-0.01,-0.53,-0.44,-0.48
19900830,-0.28,-0.26,-0.31,0.58,0.12,0.1
19900831,0.15,-0.01,-0.18,0.33,0.29,0.71
19900903,-0.33,-0.52,-0.74,-0.98,-0.82,-0.73
19900904,-0.68,-0.7,-0.53,-0.94,-0.93,-0.98
19900905,0.11,0.5,0.61,-0.17,0.18,-0.23
19900906,-0.37,-0.5,-0.4,-0.46,-0.6,-0.65
19900907,-0.57,-0.63,-0.6,0,0.18,0.49
19900910,0.19,0.17,0.06,1.28,1.25,1.41
19900911,-0.29,-0.32,-0.52,-0.85,-0.87,-0.92
19900912,0.68,0.76,0.48,1.77,1.4,1.4
19900913,0.12,0.17,0.43,0.13,-0.13,-0.35
19900914,-0.22,-0.28,-0.19,-0.35,-0.66,-0.48
19900917,-0.35,-0.43,-0.38,-0.58,-0.78,-0.78
19900918,-0.83,-1.05,-1.02,-1.36,-1.17,-1.19
19900919,-0.9,-1.23,-1.36,-0.91,-1.12,-1.12
19900920,-1.44,-1.52,-1.82,-1.68,-1.69,-1.66
19900921,-1.1,-1.4,-1.36,-0.44,-0.48,-0.09
19900924,-0.48,-0.48,-0.52,-0.49,-0.53,-0.57
19900925,-1.01,-1.01,-0.99,-1.57,-1.66,-1.33
19900926,-1.34,-0.84,-0.96,-2.12,-1.7,-2
19900927,-1.22,-0.97,-1.04,-1.8,-1.19,-1.34
19900928,-0.58,-0.45,-0.47,-1.36,-0.76,-0.58
19901001,-0.1,0.55,0.9,0.34,1.08,1.43
19901002,0.63,0.95,0.81,3.69,3.45,4.34
19901003,0.75,0.51,0.38,0.63,0.18,-0.14
19901004,0.41,0.5,0.37,0.23,0.32,0.1
19901005,0.34,0.34,0.47,1.81,0.98,1.26
19901008,1.44,2.02,2.1,2.59,2.66,2.85
19901009,-0.28,-0.49,-0.43,-0.8,-1.09,-1.2
19901010,-0.89,-0.81,-0.83,-0.75,-0.81,-0.74
19901011,-1.41,-1.1,-0.91,-1.51,-1.58,-1.99
19901012,0.2,0.1,0.19,0,0.86,0.93
19901015,-0.27,-0.27,-0.01,1.14,0.92,1.93
19901016,0.42,0.53,0.48,0.38,0.48,0.69
19901017,0.21,0.17,0.03,1.07,0.86,1.08
19901018,0.96,0.97,0.85,1.56,1.71,2.03
19901019,0.77,0.81,0.68,1.14,1.01,1.68
19901022,0.2,0.15,0.28,0.87,0.74,1.47
19901023,0.34,0.28,0.26,-0.21,0.12,-0.37
19901024,0.33,0.18,0.46,-0.2,-0.49,-0.51
19901025,0.6,0.46,0.48,0.72,0.53,1.08
19901026,-0.89,-0.92,-0.81,-1.65,-1.35,-1.84
19901029,-0.29,-0.22,-0.48,-0.2,-0.28,-0.05
19901030,-0.59,-0.46,-0.57,-0.84,-0.55,-0.45
19901031,-0.37,-0.14,-0.15,-0.42,-0.44,-0.5
19901101,-0.67,-0.44,-0.42,-1.39,-1.21,-1.61
19901102,0.29,0.1,0.25,1.02,0.66,1.4
19901105,1.02,1.21,1.08,1.5,1.46,1.56
19901106,-0.32,-0.18,-0.33,-0.68,-0.46,-1.31
19901107,-0.75,-0.52,-0.49,-1.32,-1.73,-1.59
19901108,-1.03,-1.12,-0.97,-1.5,-1.21,-1.54
19901109,-0.21,-0.13,-0.15,0.35,0.43,0.36
19901112,0.54,0.72,0.6,1.05,1.04,1.18
19901113,0.61,0.82,0.43,1.53,1.13,1.29
19901114,0.35,0.18,0.44,-0.06,-0.14,0.31
19901115,-0.64,-0.27,-0.37,-0.67,-0.64,-1.06
19901116,-0.07,0.08,0.21,-0.44,-0.18,-0.68
19901119,0.34,0.38,0.34,0.87,1.17,1.43
19901120,-0.35,-0.27,-0.31,-1.07,-0.63,-0.81
19901121,-0.43,-0.23,-0.33,-0.52,-0.16,-0.42
19901122,0.17,0.36,0.25,1.08,0.83,1.37
19901123,-0.07,-0.42,0.04,0.06,-0.02,-0.04
